visit_date,district,facility_type,total_visits,fever_cases,cough_cases,respiratory_cases,admission_count,icu_admissions,age_group,daily_growth_rate,7_day_moving_average,case_spike_flag
2023-08-10,Kota,Clinic,98,43,3,25,5,0,65+,0.0,42,0
2023-09-29,Bharatpur,Hospital,291,111,113,38,4,0,36-50,0.0,114,0
2023-10-05,Ajmer,Hospital,136,43,46,15,2,0,51-65,0.0,39,0
2023-03-09,Bikaner,Clinic,159,77,11,15,3,0,0-18,0.0,78,0
2023-04-05,Kota,Hospital,266,75,63,21,5,0,0-18,0.74,79,1
2023-05-20,Ajmer,Hospital,247,79,15,60,17,3,36-50,0.84,75,1
2023-08-06,Ajmer,Hospital,274,88,3,79,22,2,65+,0.11,85,0
2023-07-27,Jodhpur,Hospital,163,34,22,18,3,0,65+,0.0,33,0
2023-01-22,Kota,Hospital,153,31,42,31,11,1,19-35,-0.59,28,0
2023-03-03,Bharatpur,Clinic,96,9,5,2,1,0,36-50,-0.92,12,0
2023-08-13,Jodhpur,Hospital,155,18,33,45,5,0,65+,-0.47,16,0
2023-06-05,Udaipur,Clinic,104,26,24,5,6,0,0-18,0.0,30,0
2023-04-03,Jodhpur,Clinic,253,49,47,19,7,1,51-65,1.72,53,1
2023-09-13,Sikar,Clinic,40,12,8,10,2,0,0-18,0.0,8,0
2023-09-01,Alwar,Clinic,193,90,12,7,9,0,51-65,0.0,89,0
2023-02-04,Pali,Hospital,83,26,28,21,6,0,36-50,0.0,27,0
2023-01-13,Kota,Clinic,149,38,47,5,2,0,65+,0.23,42,0
2023-06-08,Pali,Hospital,71,23,27,19,8,1,51-65,-0.12,22,0
2023-08-25,Udaipur,Clinic,268,42,59,18,10,1,19-35,0.62,45,1
2023-06-06,Bharatpur,Hospital,202,38,52,23,10,0,0-18,3.22,33,1
2023-09-11,Alwar,Clinic,193,15,56,56,3,0,0-18,-0.83,13,0
2023-10-11,Jaipur,Hospital,210,11,83,29,3,0,36-50,0.0,10,0
