date,district,avg_temperature,rainfall,humidity,temperature_deviation,rainfall_deviation,weather_risk_index
2023-10-15,Jaipur,30.05,47.48,75.63,0.05,7.48,0.43
2023-05-23,Ajmer,30.02,11.41,67.41,-7.48,6.41,0.4
2023-11-09,Sikar,25.37,81.85,40.91,-4.63,41.85,0.44
2023-02-16,Kota,16.57,2.71,51.56,-3.43,-2.29,0.26
2023-01-23,Pali,17.04,14.54,71.16,-2.96,9.54,0.36
2023-04-05,Bharatpur,39.94,8.72,35.81,2.44,3.72,0.2
2023-11-22,Ajmer,32.26,5.91,56.87,2.26,-34.09,0.27
2023-08-01,Kota,25.79,23.75,53.07,-4.21,-16.25,0.33
2023-02-03,Jaipur,21.24,1.79,72.84,1.24,-3.21,0.31
2023-03-21,Kota,41.28,2.63,56.93,3.78,-2.37,0.29
2023-05-08,Bharatpur,35.94,11.71,88.72,-1.56,6.71,0.41
2023-10-25,Jaipur,29.53,85.67,72.66,-0.47,45.67,0.53
2023-05-18,Ajmer,32.39,14.88,74.08,-5.11,9.88,0.4
2023-06-30,Bikaner,35.89,9.38,62.84,-1.61,4.38,0.3
2023-06-18,Kota,39.19,4.65,53.82,1.69,-0.35,0.25
2023-06-22,Alwar,44.73,14.12,80.25,7.23,9.12,0.46
2023-11-16,Sikar,32.64,88.5,51.82,2.64,48.5,0.48
2023-01-15,Bikaner,21.65,1.44,54.07,1.65,-3.56,0.24
2023-01-22,Pali,17.62,6.35,71.1,-2.38,1.35,0.33
2023-07-17,Pali,34.02,91.63,47.36,4.02,51.63,0.49
2023-01-17,Jodhpur,22.83,1.57,56.36,2.83,-3.43,0.27
2023-01-15,Ajmer,17.34,6.13,42.41,-2.66,1.13,0.22
2023-09-15,Kota,31.39,22.66,81.81,1.39,-17.34,0.41
2023-05-18,Udaipur,34.11,12.01,62.96,-3.39,7.01,0.33
2023-06-21,Sikar,41.78,13.66,49.9,4.28,8.66,0.29
2023-04-16,Sikar,42.52,7.54,58.04,5.02,2.54,0.32
2023-10-31,Alwar,26.37,50.75,64.64,-3.63,10.75,0.44
2023-12-15,Bikaner,18.66,7.24,37.56,-1.34,2.24,0.19
2023-07-15,Kota,25.15,6.66,88.27,-4.85,-33.34,0.44
2023-06-03,Jaipur,44.14,0.97,78.5,6.64,-4.03,0.41
2023-05-28,Udaipur,32.16,11.28,57.22,-5.34,6.28,0.33
2023-08-25,Alwar,26.06,16.73,66.15,-3.94,-23.27,0.36
2023-12-17,Jodhpur,20.14,6.61,79.2,0.14,1.61,0.34
2023-05-09,Ajmer,38.39,6.1,48.26,0.89,1.1,0.22
2023-05-16,Bharatpur,31.94,6.03,45.92,-5.56,1.03,0.27
2023-05-23,Bharatpur,30.32,4.47,44.8,-7.18,-0.53,0.29
2023-12-20,Ajmer,20.7,4.31,54.18,0.7,-0.69,0.24
2023-04-08,Bharatpur,40.63,0.02,89.96,3.13,-4.98,0.4
2023-01-17,Jaipur,23.75,1.86,35.29,3.75,-3.14,0.2
2023-01-25,Kota,23.67,13.1,64.92,3.67,8.1,0.34
2023-11-10,Kota,26.39,8.64,85.07,-3.61,-31.36,0.41
2023-11-09,Ajmer,29.72,40.06,78.02,-0.28,0.06,0.42
2023-01-15,Bharatpur,17.47,0.81,61.17,-2.53,-4.19,0.28
2023-02-02,Alwar,20.85,13.23,54.38,0.85,8.23,0.26
2023-12-06,Sikar,19.71,7.75,41.71,-0.29,2.75,0.19
2023-09-29,Jodhpur,26.76,48.49,53.27,-3.24,8.49,0.39
2023-05-11,Sikar,31.17,9.51,42.47,-6.33,4.51,0.28
2023-04-09,Jodhpur,37.78,10.34,85.83,0.28,5.34,0.37
2023-06-27,Ajmer,35.46,13.27,37.9,-2.04,8.27,0.21
2023-06-23,Bikaner,39.2,9.48,35.02,1.7,4.48,0.19
2023-08-26,Alwar,31.86,79.34,60.25,1.86,39.34,0.48
2023-05-28,Pali,44.65,10.71,63.38,7.15,5.71,0.38
2023-05-23,Udaipur,30.93,5.3,81.26,-6.57,0.3,0.43
2023-02-04,Alwar,15.55,13.17,87.03,-4.45,8.17,0.44
2023-08-29,Bikaner,26.11,42.68,72.99,-3.89,2.68,0.46
2023-06-01,Jaipur,39.37,4.05,55.23,1.87,-0.95,0.26
2023-03-29,Pali,44.08,10.83,85.7,6.58,5.83,0.46
2023-09-02,Kota,32.77,114.31,53.63,2.77,74.31,0.56
2023-12-01,Alwar,24.49,6.3,89.52,4.49,1.3,0.43
2023-08-20,Udaipur,26.49,22.04,58.29,-3.51,-17.96,0.34
2023-08-08,Udaipur,28.24,104.34,39.66,-1.76,64.34,0.46
2023-02-05,Kota,20.11,4.95,87.27,0.11,-0.05,0.36
2023-01-31,Pali,18.48,14.45,80.35,-1.52,9.45,0.38
2023-03-24,Jaipur,44.76,14.82,48.96,7.26,9.82,0.33
2023-07-16,Bharatpur,34.06,112.19,65.16,4.06,72.19,0.61
2023-06-15,Jaipur,43.23,6.31,64.48,5.73,1.31,0.35
2023-09-24,Ajmer,30.74,25.36,43.11,0.74,-14.64,0.25
2023-08-12,Bikaner,28.79,33.54,35.41,-1.21,-6.46,0.25
2023-04-06,Kota,36.18,12.97,36.52,-1.32,7.97,0.2
2023-03-19,Bikaner,39.81,10.47,68.8,2.31,5.47,0.33
2023-02-07,Bharatpur,19.55,14.59,75.0,-0.45,9.59,0.34
2023-09-23,Sikar,33.23,86.93,63.73,3.23,46.93,0.53
2023-10-18,Jaipur,29.04,7.42,47.42,-0.96,-32.58,0.22
2023-04-04,Bikaner,34.75,2.54,89.7,-2.75,-2.46,0.4
2023-11-08,Sikar,34.39,84.5,89.06,4.39,44.5,0.64
2023-02-26,Alwar,21.8,11.79,86.87,1.8,6.79,0.4
2023-10-07,Sikar,27.84,74.06,36.1,-2.16,34.06,0.37
2023-07-11,Pali,33.54,100.47,59.58,3.54,60.47,0.55
2023-04-26,Bharatpur,40.36,2.73,89.7,2.86,-2.27,0.4
2023-04-26,Bikaner,34.77,9.33,73.89,-2.73,4.33,0.36
2023-08-04,Ajmer,29.27,101.53,81.38,-0.73,61.53,0.61
2023-04-14,Udaipur,30.85,4.18,53.14,-6.65,-0.82,0.31
2023-03-09,Bikaner,34.77,1.53,59.88,-2.73,-3.47,0.28
2023-08-09,Jaipur,30.8,56.26,38.0,0.8,16.26,0.31
2023-11-13,Kota,25.73,20.11,45.19,-4.27,-19.89,0.29
2023-04-25,Bikaner,40.46,3.96,57.54,2.96,-1.04,0.28
2023-11-15,Udaipur,31.69,82.86,46.94,1.69,42.86,0.43
2023-09-08,Alwar,34.13,80.43,61.94,4.13,40.43,0.52
2023-03-29,Sikar,30.41,9.14,58.38,-7.09,4.14,0.35
2023-06-20,Jaipur,43.14,12.63,85.4,5.64,7.63,0.45
2023-09-23,Bharatpur,30.62,36.53,41.23,0.62,-3.47,0.27
2023-11-16,Sikar,31.69,89.98,38.75,1.69,49.98,0.42
2023-07-23,Jaipur,25.09,110.2,57.95,-4.91,70.2,0.59
2023-10-17,Kota,32.61,102.57,41.59,2.61,62.57,0.47
2023-03-20,Pali,32.09,3.55,66.42,-5.41,-1.45,0.35
2023-11-11,Kota,25.22,98.09,36.47,-4.78,58.09,0.47
2023-10-12,Udaipur,26.4,25.97,84.09,-3.6,-14.03,0.45
2023-11-02,Bharatpur,26.54,17.49,76.55,-3.46,-22.51,0.4
2023-03-23,Bikaner,40.15,11.7,65.02,2.65,6.7,0.33
2023-04-25,Bikaner,43.55,10.07,53.14,6.05,5.07,0.32
2023-05-12,Bikaner,36.9,11.9,47.19,-0.6,6.9,0.23
2023-07-14,Kota,32.03,54.14,43.79,2.03,14.14,0.35
2023-08-08,Bikaner,32.81,72.59,77.53,2.81,32.59,0.54
2023-09-07,Jodhpur,30.32,46.48,55.7,0.32,6.48,0.35
2023-04-10,Jaipur,34.77,4.48,73.99,-2.73,-0.52,0.34
2023-11-07,Ajmer,31.41,17.6,65.43,1.41,-22.4,0.33
2023-11-04,Jodhpur,29.99,92.92,56.87,-0.01,52.92,0.48
2023-04-16,Sikar,41.76,12.02,65.67,4.26,7.02,0.35
2023-06-30,Jodhpur,37.16,6.15,48.64,-0.34,1.15,0.22
2023-07-29,Jodhpur,31.27,68.5,78.61,1.27,28.5,0.51
2023-11-03,Jodhpur,31.93,106.98,84.29,1.93,66.98,0.65
2023-05-21,Alwar,30.76,11.98,42.94,-6.74,6.98,0.29
2023-12-07,Sikar,21.77,3.58,35.48,1.77,-1.42,0.18
2023-04-12,Sikar,39.95,8.45,75.65,2.45,3.45,0.36
2023-12-23,Alwar,19.2,7.86,49.74,-0.8,2.86,0.23
2023-03-07,Bharatpur,34.27,4.95,57.85,-3.23,-0.05,0.29
2023-02-20,Bikaner,20.22,3.36,44.21,0.22,-1.64,0.19
2023-09-19,Udaipur,26.86,36.97,50.43,-3.14,-3.03,0.34
2023-01-22,Ajmer,16.65,4.5,66.83,-3.35,-0.5,0.32
2023-08-24,Bharatpur,31.88,44.67,35.91,1.88,4.67,0.29
2023-12-06,Jaipur,16.34,9.13,76.33,-3.66,4.13,0.38
2023-01-28,Ajmer,23.05,6.6,73.38,3.05,1.6,0.35
2023-06-21,Udaipur,34.49,10.0,55.61,-3.01,5.0,0.29
2023-08-17,Bikaner,27.83,12.17,62.41,-2.17,-27.83,0.31
2023-01-22,Jodhpur,15.43,6.19,72.63,-4.57,1.19,0.37
2023-08-27,Udaipur,25.67,109.87,44.92,-4.33,69.87,0.53
2023-02-16,Bharatpur,16.57,5.63,61.2,-3.43,0.63,0.31
2023-07-17,Alwar,30.65,52.38,36.07,0.65,12.38,0.29
2023-10-22,Kota,33.25,43.19,80.03,3.25,3.19,0.48
2023-11-24,Sikar,29.13,94.42,65.12,-0.87,54.42,0.52
2023-08-06,Alwar,25.13,48.02,66.19,-4.87,8.02,0.46
2023-04-28,Alwar,32.74,2.16,84.76,-4.76,-2.84,0.41
2023-12-04,Alwar,19.15,2.29,43.47,-0.85,-2.71,0.19
