district,predicted_risk,confidence_score,equity_vulnerability_index,final_risk_score,priority_level,alert_status,recommended_action
Bikaner,Low,99.5,0.07675968992248063,0.348,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.5,-0.0597525051994706,0.314,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.68,0.07675968992248063,0.349,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.68,-0.0597525051994706,0.315,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.61,0.07675968992248063,0.349,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.61,-0.0597525051994706,0.314,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.82,0.07675968992248063,0.349,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.82,-0.0597525051994706,0.315,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.51,0.07675968992248063,0.348,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.51,-0.0597525051994706,0.314,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.51,0.07675968992248063,0.348,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.51,-0.0597525051994706,0.314,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.65,0.07675968992248063,0.349,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.65,-0.0597525051994706,0.315,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.56,0.07675968992248063,0.349,Low Priority,NO ALERT,Routine monitoring.
Bikaner,Low,99.56,-0.0597525051994706,0.314,Low Priority,NO ALERT,Routine monitoring.
Bikaner,High,89.21,0.30896767001114833,0.811,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,Low,98.59,-0.029191587438778446,0.321,Low Priority,NO ALERT,Routine monitoring.
Bikaner,High,89.41,0.30896767001114833,0.811,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Bikaner,Low,98.59,-0.029191587438778446,0.321,Low Priority,NO ALERT,Routine monitoring.
Jaipur,High,83.52,0.37072180451127823,0.818,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jaipur,Medium,93.0,0.2638035714285714,0.565,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Jaipur,High,83.09,0.37072180451127823,0.817,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jaipur,Medium,92.07,0.2638035714285714,0.564,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Jaipur,High,83.74,0.37072180451127823,0.818,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jaipur,Medium,92.83,0.2638035714285714,0.565,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Jaipur,High,83.2,0.37072180451127823,0.817,High Priority,RED ALERT,"Deploy medical teams, increase hospital readiness, launch awareness campaigns."
Jaipur,Medium,91.51,0.2638035714285714,0.563,Medium Priority,ORANGE ALERT,"Increase surveillance, stock medicines, prepare hospitals."
Pali,Low,99.14,0.02263967611336032,0.334,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.09294736842105264,0.352,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.03109022556390975,0.336,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.02263967611336032,0.334,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.09294736842105264,0.352,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.03109022556390975,0.336,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.02263967611336032,0.334,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.09294736842105264,0.352,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,99.14,0.03109022556390975,0.336,Low Priority,NO ALERT,Routine monitoring.
Pali,Low,98.91,0.02263967611336032,0.334,Low Priority,NO ALERT,Routine monitoring.
