sale_date,district,medicine_category,medicine_name,units_sold,daily_sales_growth,7_day_moving_average,demand_spike_flag
2023-03-27,Jodhpur,cold,Chlorpheniramine,162,0.0,163,0
2023-04-27,Pali,antibiotic,Amoxicillin,25,0.0,23,0
2023-09-16,Bharatpur,cold,Cetirizine,155,0.0,157,0
2023-03-23,Pali,cough,Bromhexine,53,0.0,67,0
2023-03-28,Bikaner,antibiotic,Azithromycin,68,0.0,63,0
2023-02-07,Sikar,cough,Bromhexine,172,0.0,165,0
2023-03-14,Bikaner,cough,Bromhexine,157,0.0,167,0
2023-06-15,Alwar,cough,Dextromethorphan,166,0.0,178,0
2023-01-25,Sikar,cold,Cetirizine,139,0.0,134,0
2023-08-14,Sikar,fever,Ibuprofen,280,0.0,269,0
2023-10-12,Jaipur,fever,Aspirin,262,0.0,258,0
2023-05-24,Kota,cold,Cetirizine,127,0.0,114,0
2023-12-20,Jodhpur,antibiotic,Azithromycin,83,0.0,69,0
2023-01-26,Kota,fever,Paracetamol,117,0.0,111,0
2023-04-07,Kota,fever,Aspirin,130,0.0,134,0
2023-11-26,Ajmer,fever,Ibuprofen,100,0.0,96,0
2023-05-24,Jaipur,antibiotic,Amoxicillin,140,0.0,141,0
2023-12-05,Bikaner,cold,Cetirizine,23,0.0,15,0
2023-11-16,Pali,cold,Chlorpheniramine,166,0.0,177,0
2023-12-28,Ajmer,cough,Dextromethorphan,175,0.0,164,0
2023-06-27,Ajmer,fever,Paracetamol,291,0.0,303,0
2023-07-13,Sikar,antibiotic,Azithromycin,104,0.0,110,0
2023-11-30,Sikar,cough,Bromhexine,158,-0.08,152,0
2023-05-09,Ajmer,fever,Aspirin,177,0.0,179,0
2023-09-30,Bikaner,cold,Cetirizine,119,4.17,106,1
2023-02-26,Bikaner,fever,Aspirin,104,0.0,111,0
2023-04-21,Jodhpur,fever,Paracetamol,214,0.0,200,0
2023-09-21,Jodhpur,cold,Cetirizine,72,0.0,84,0
2023-01-11,Alwar,cough,Dextromethorphan,219,0.32,221,1
2023-05-16,Ajmer,cold,Chlorpheniramine,113,0.0,103,0
2023-01-29,Kota,cold,Chlorpheniramine,76,0.0,72,0
2023-06-11,Udaipur,fever,Paracetamol,124,0.0,129,0
2023-10-15,Ajmer,cold,Cetirizine,130,0.0,131,0
2023-03-08,Bikaner,fever,Aspirin,114,0.1,102,0
2023-07-26,Udaipur,antibiotic,Azithromycin,74,0.0,74,0
2023-12-09,Sikar,fever,Paracetamol,174,0.0,166,0
2023-10-30,Pali,fever,Aspirin,121,0.0,114,0
2023-01-09,Kota,fever,Aspirin,261,1.01,264,1
2023-04-23,Sikar,cold,Chlorpheniramine,62,0.0,50,0
2023-01-30,Alwar,fever,Aspirin,177,0.0,179,0
2023-04-18,Pali,cold,Chlorpheniramine,105,-0.37,106,0
2023-12-13,Pali,antibiotic,Amoxicillin,113,3.52,102,1
2023-12-31,Jodhpur,antibiotic,Azithromycin,35,-0.58,39,0
2023-09-05,Bikaner,fever,Ibuprofen,159,0.0,164,0
2023-06-14,Kota,cold,Chlorpheniramine,25,-0.67,14,0
2023-12-09,Kota,antibiotic,Amoxicillin,66,0.0,63,0
2023-01-20,Alwar,antibiotic,Azithromycin,61,0.0,47,0
2023-10-07,Kota,antibiotic,Azithromycin,105,0.0,118,0
2023-01-19,Bikaner,antibiotic,Azithromycin,31,-0.54,29,0
