report_date,district,disease_name,confirmed_cases,recovered_cases,death_count,outbreak_status,weekly_case_growth,historical_average_cases
2023-05-29,Bikaner,Dengue,23,14,0,Low,0.0,24
2023-07-23,Jaipur,COVID-19,54,45,1,Low,0.0,44
2023-09-26,Jaipur,Dengue,14,11,0,Low,0.0,11
2023-05-01,Pali,Dengue,93,77,1,Low,0.0,81
2023-11-08,Bikaner,Malaria,9,7,0,Low,0.0,9
2023-12-01,Bikaner,COVID-19,136,112,1,Low,0.0,105
2023-08-09,Alwar,Malaria,67,55,0,Low,0.0,52
2023-09-25,Udaipur,COVID-19,261,213,5,Low,0.0,193
2023-11-02,Sikar,Malaria,53,44,1,Low,0.0,51
2023-03-28,Bikaner,COVID-19,24,17,0,Low,-0.82,22
2023-05-23,Bikaner,Malaria,60,49,1,High,5.67,51
2023-06-27,Jodhpur,Dengue,10,7,0,Low,0.0,7
2023-06-07,Bikaner,COVID-19,177,149,2,High,6.38,149
2023-04-19,Jodhpur,Malaria,43,34,0,Low,0.0,35
2023-06-03,Kota,Dengue,16,13,0,Low,0.0,16
2023-12-08,Pali,Malaria,16,12,0,Low,0.0,16
2023-02-28,Bharatpur,Malaria,3,2,0,Low,0.0,2
2023-04-30,Jaipur,Malaria,44,28,1,Low,0.0,34
2023-02-18,Jodhpur,Dengue,30,20,0,High,2.0,27
2023-10-20,Sikar,Dengue,37,23,0,Low,0.0,39
2023-09-30,Ajmer,COVID-19,61,42,0,Low,0.0,46
2023-11-11,Jodhpur,COVID-19,137,107,2,Low,0.0,99
2023-04-24,Pali,Malaria,10,8,0,Low,-0.38,8
2023-05-26,Jodhpur,Dengue,83,59,1,High,1.77,71
2023-01-18,Alwar,Dengue,82,58,0,Low,0.0,85
2023-11-12,Jaipur,COVID-19,214,186,4,High,2.96,164
2023-07-07,Bharatpur,COVID-19,149,112,1,Low,0.0,158
2023-07-14,Udaipur,Dengue,57,36,0,Low,0.0,55
2023-02-20,Pali,COVID-19,67,43,1,Low,0.0,63
2023-10-13,Ajmer,COVID-19,109,93,0,High,0.79,90
2023-05-07,Jaipur,Dengue,107,90,2,High,6.64,92
2023-04-11,Jodhpur,Dengue,80,59,1,Low,-0.04,74
2023-08-14,Bharatpur,Malaria,17,12,0,High,4.67,16
2023-03-27,Pali,Malaria,42,25,0,High,3.2,31
2023-11-15,Sikar,Dengue,5,3,0,Low,-0.86,3
2023-02-17,Jaipur,COVID-19,119,98,3,Low,-0.44,94
2023-07-04,Bharatpur,Dengue,91,77,1,Low,0.0,87
2023-12-23,Pali,Malaria,60,53,0,High,0.43,59
2023-05-30,Sikar,Dengue,89,78,1,Medium,16.8,92
2023-05-28,Udaipur,Malaria,9,7,0,Low,0.0,6
2023-07-07,Udaipur,Dengue,118,101,3,High,1.07,117
2023-08-10,Bharatpur,Malaria,72,48,1,High,3.24,57
2023-11-18,Bharatpur,Dengue,91,61,2,Low,0.0,74
2023-06-27,Bharatpur,Dengue,87,71,1,Low,-0.04,66
2023-10-02,Alwar,Dengue,10,6,0,Low,-0.88,9
2023-08-24,Jaipur,Malaria,22,18,0,Low,-0.5,19
2023-07-03,Bikaner,COVID-19,235,156,1,High,0.33,171
2023-10-25,Alwar,COVID-19,242,176,4,Low,0.0,227
2023-03-17,Bikaner,Dengue,75,57,1,Medium,2.26,75
2023-05-02,Ajmer,Dengue,41,33,1,Low,0.0,36
2023-03-27,Sikar,Malaria,31,21,0,Low,-0.42,28
2023-02-21,Alwar,COVID-19,90,68,2,Low,-0.63,80
2023-07-16,Sikar,Malaria,64,48,1,High,1.06,52
